ParticipantId,Town/City Size,Age,Community Type,Education,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Migrant Status,Personal Income,Country Of Residence,Household Income,Years of Residence,Race,Employment Status,all_use,all_dd_1,all_dd_2,all_dd_3,all_dd_4,thoughts_BC_A,feel_BC_A,battery_BC_A_1,battery_BC_A_2,battery_BC_A_3,feel_OS_A,battery_OS_A_1,battery_OS_A_2,battery_OS_A_3,feel_DS_A,battery_DS_A_1,battery_DS_A_2,battery_DS_A_3,feel_HD_A,battery_HD_A_1,battery_HD_A_2,battery_HD_A_3,thoughts_A_compare,feel_A_compare,like_A_compare,stands_A_compare,thoughts_EX_B,feel_EX_B,battery_EX_B_1,battery_EX_B_2,battery_EX_B_3,feel_DS_B,battery_DS_B_1,battery_DS_B_2,battery_DS_B_3,feel_HD_B,battery_HD_B_1,battery_HD_B_2,battery_HD_B_3,feel_OS_B,battery_OS_B_1,battery_OS_B_2,battery_OS_B_3,thoughts_B_compare,feel_B_compare,like_B_compare,If_stand_out,thoughts_YOU_C,like_YOU_C,battery_YOU_C_1,battery_YOU_C_2,battery_YOU_C_3,feel_OS_C,battery_OS_C_1,battery_OS_C_2,battery_OS_C_3,feel_HD_C,battery_HD_C_1,battery_HD_C_2,battery_HD_C_3,feel_DS_C,battery_DS_C_1,battery_DS_C_2,battery_DS_C_3,thoughts_C_compare,feel_C_compare,like_C_compare,stands_C_compare,thoughts_AXE_D,feel_AXE_D,battery_AXE_D_1,battery_AXE_D_2,battery_AXE_D_3,feel_HD_D,QID60_1,QID60_2,QID60_3,feel_DS_D,battery_DS_D_1,battery_DS_D_2,battery_DS_D_3,feel_OS_D,battery_OS_D_1,battery_OS_D_2,battery_OS_D_3,treatment,treatment_YOU,treatment_EX
2ED051D46A6B4B31846A1D43DE8CB440,"City 200,000+",47,"Suburban – Mainly residential, bordering a city or large town","Associate degree (for example: AA, AS)",Other,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$10,000-$19,999",United States,"$10,000-$19,999",My whole life,American Indian or Alaska Native,Part-time,I use deodorant,4,3,1,2,"for teens, males",Somewhat Like it,Somewhat Agree,Agree,Somewhat Agree,Somewhat Like it,Agree,Agree,Agree,Like it,Agree,Somewhat Agree,Agree,Neutral,Neutral,Disagree,Neutral,"it's for teens, boys",3,Dislike it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
F56B0B66D44E43C691FD0101CD1D48BE,"City 200,000+",36,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)",Marketing and Sales,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$70,000-$79,999",United States,"$70,000-$79,999",10-15 years,An ethnicity not listed here,Part-time,I don't use deodorant,4,2,3,1,"This fits with prior perceptions of Axe. I don't think the tagline is memorable since the phrase is already used so widely for a different meaning, but it will reinforce the idea that Axe is for bros when an Axe product is seen. ",Somewhat Dislike it,Somewhat Agree,Somewhat Agree,Neutral,Like it,Agree,Somewhat Agree,Somewhat Agree,Somewhat Dislike it,Disagree,Disagree,Neutral,Somewhat Like it,Somewhat Agree,Neutral,Neutral,The new proposed tagline is a lot better than the current one. It makes sense and works without having seen lots of Axe commercials in order to understand. ,6,Somewhat Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8C8DCE48CBB947A59589DB27FBBC12B7,"City 20,000 - 49,000",51,"Suburban – Mainly residential, bordering a city or large town",High school graduate - high school diploma or the equivalent (for example: GED),Information Technology,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$30,000-$39,999",United States,"$40,000-$49,999",My whole life,White,Part-time,I use deodorant,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It doesn't seem to have anything to do with staying fresh.,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Like it,Agree,Neutral,Somewhat Agree,Like it,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,0,0,0
DC6ADA4B436741B3B8F39FF44E54F3BD,"City 100,000 - 199,000",28,"Suburban – Mainly residential, bordering a city or large town","Bachelor's degree (for example: BA, AB, BS)",Marketing and Sales,In a relationship,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$90,000-$99,999",United States,"$80,000-$89,999",My whole life,White,Full-time,I use deodorant,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Simple, trendy, powerful",Somewhat Dislike it,Somewhat Agree,Disagree,Disagree,Like it,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Dislike it,Somewhat Disagree,Disagree,Disagree,0,0,0
470B1E0E71A3465181D73DDA83E66D55,"City 200,000+",36,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)","Science, Technology, Engineering & Mathematics",Single,Independent,"Yes, another Hispanic, Latino, or Spanish origin – (for example, Salvadoran, Dominican, Colombian, Guatemalan, Spaniard, Ecuadorian, etc.)","I was born in the United States, but both of my parents were not","$60,000-$69,999",United States,"$60,000-$69,999",My whole life,White,Full-time,I use deodorant,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,not sure if i like the new tagline it feels out of touch and off base,Like it,Agree,Strongly Agree,Agree,Like it,Agree,Strongly Agree,Strongly Agree,Like it,Agree,Agree,Strongly Agree,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,"I don't care for it, it is out of touch and off base. the old tagline was and is much more relevant to who buys your products.",1,Strongly Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7888A2429F784143A381F03582A8DC5E,"City 200,000+",35,"Suburban – Mainly residential, bordering a city or large town","Associate degree (for example: AA, AS)",Hospitality & Tourism,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$30,000-$39,999",United States,"$20,000-$29,999",My whole life,White,Part-time,I use deodorant,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thats hilarious ,Dislike it,Disagree,Disagree,Disagree,Strongly Like it,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,"Its better, old one did nothing and at least Axe knew its reputation",6,Neutral,Stands out from the competition,,,,,,,,,,,,,,,,,,,1,
2961DDABFB084FF4BD734D993FA5550E,"City 50,000 - 99,000",45,"Suburban – Mainly residential, bordering a city or large town","Associate degree (for example: AA, AS)",Architecture and Construction,In a civil union/partnership,Independent,"Yes, Mexican, Mexican Am., Chicano",Both I and my parents were born in the United States,"$50,000-$59,999",United States,"$50,000-$59,999",My whole life,White,Business Owner,I use deodorant,1,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I think it's a bit corny but it definitely works. It's not something that's too memorable.,Somewhat Like it,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Dislike it,Disagree,Disagree,Strongly Disgaree,I'm not a big fan of it but I think that most people wouldn't mind it.,4,Somewhat Like it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,1,
3418D1DA4D634D99BA0DB701FF7349C4,"City 200,000+",61,"Suburban – Mainly residential, bordering a city or large town",High school graduate - high school diploma or the equivalent (for example: GED),Other,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin","I was born in the United States, but both of my parents were not","$10,000-$19,999",United States,"$20,000-$29,999",Over 20 years,White,Business Owner,I use deodorant,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It looks interesting but not sure what what the differences are,Somewhat Like it,Somewhat Agree,Agree,Somewhat Agree,Like it,Agree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,I think it is okay. I don't know what it really means.,4,Neutral,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,1,
21C9CCA31AAC4871AF17A99AF86F6B8B,"City 50,000 - 99,000",69,"Suburban – Mainly residential, bordering a city or large town","Some college, but no degree","Transportation, Distribution & Logistics",Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin","I was born in the United States, but one of my parents was not","$10,000-$19,999",United States,"$50,000-$59,999",My whole life,White,Retired,I use deodorant,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,Catchy,Strongly Like it,Agree,Agree,Agree,Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,catchy again,5,Somewhat Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
FBC473F814A044D0A25DF24985F5711E,"City 200,000+",39,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)",Information Technology,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$90,000-$99,999",United States,"$90,000-$99,999",My whole life,White,Full-time,I use deodorant,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,what can you say...amazing,Dislike it,Disagree,Disagree,Strongly Disgaree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dislike it,Disagree,Disagree,Disagree,just makes me tingle,4,Neutral,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
A21A2B625B56475BB7C5C3DF3EFB0C5B,"City 200,000+",37,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)","Science, Technology, Engineering & Mathematics",Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin","I was born in the United States, but both of my parents were not","$80,000-$89,999",United States,"$80,000-$89,999",My whole life,Filipino,Full-time,I use deodorant,2,4,1,3,"Axe's new suggested tagline gives a fresh and modern feel that connects with today's audience, while keeping its fun spirit.",Like it,Agree,Somewhat Agree,Somewhat Agree,Like it,Neutral,Neutral,Somewhat Agree,Like it,Agree,Agree,Agree,Like it,Agree,Agree,Agree,Axe's new slogan does a great job of showing confidence and appeal in a way that connects with young people.,6,Somewhat Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
3CB9A2C5C494489CB8298E32F12E941C,"City 50,000 - 99,000",40,"Suburban – Mainly residential, bordering a city or large town",High school graduate - high school diploma or the equivalent (for example: GED),Other,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$30,000-$39,999",United States,"$30,000-$39,999",My whole life,White,Full-time,I use deodorant,1,4,3,2,I'm not Black. I wouldn't buy this product with that tag line. Ie:white male,Neutral,Neutral,Neutral,Disagree,Strongly Like it,Agree,Somewhat Agree,Agree,Somewhat Like it,Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,"Again, I am not Black.",1,Strongly Dislike it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
CECDFEBFFEF24892ABF5C08D8157D8DA,"City 20,000 - 49,000",24,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)","Agriculture, Food and Natural Resources",In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$10,000-$19,999",United States,"$90,000-$99,999",My whole life,Japanese,Part-time,I use deodorant,4,2,3,1,I like it but it seems to be more targeting to a younger demographic,Like it,Agree,Strongly Agree,Somewhat Agree,Like it,Agree,Somewhat Agree,Somewhat Agree,Somewhat Like it,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,It's more modern and exciting,6,Strongly Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7414F0F7BABB45C293D90A7A67DAAD80,"City 100,000 - 199,000",39,"Suburban – Mainly residential, bordering a city or large town","Bachelor's degree (for example: BA, AB, BS)",Information Technology,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$70,000-$79,999",United States,"$70,000-$79,999",5-10 years,White,Full-time,I use deodorant,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It's cool, new slogan sounds  better.",Somewhat Like it,Neutral,Neutral,Neutral,Strongly Like it,Agree,Somewhat Agree,Neutral,Somewhat Like it,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,I like the proposed one.,6,Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,1,
0CA6D66EEB91468B8A04190507F75569,"City 50,000 - 99,000",32,"Suburban – Mainly residential, bordering a city or large town",High school graduate - high school diploma or the equivalent (for example: GED),"Transportation, Distribution & Logistics",Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$50,000-$59,999",United States,"$50,000-$59,999",My whole life,Black or African American,Full-time,I use deodorant,3,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manly,Somewhat Dislike it,Neutral,Somewhat Agree,Neutral,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Like it,Agree,Somewhat Agree,Agree,0,0,0
42BCA47C53F142E1A4E27E5D58D151B9,"City 200,000+",63,"Suburban – Mainly residential, bordering a city or large town","Some college, but no degree",Hospitality & Tourism,In a relationship,Democrat,"Yes, Mexican, Mexican Am., Chicano",Both I and my parents were born in the United States,"$40,000-$49,999",United States,"$40,000-$49,999",Over 20 years,White,Full-time,I use deodorant,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Its a bit confusing since i don't really know what the axe effect is to begin with.,Neutral,Neutral,Neutral,Neutral,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,Like it,Agree,Somewhat Agree,Agree,0,0,0
B534C2900B0E48A48023F9C626DA2E08,"City 20,000 - 49,000",24,"Suburban – Mainly residential, bordering a city or large town",High school graduate - high school diploma or the equivalent (for example: GED),Other,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$40,000-$49,999",United States,"$40,000-$49,999",My whole life,White,Full-time,I use deodorant,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I think the tagline is attention catching.,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,0,0,0
015D95BA960E4D8387F933A0C7E87F69,"City 20,000 - 49,000",30,"Suburban – Mainly residential, bordering a city or large town",High school graduate - high school diploma or the equivalent (for example: GED),Manufacturing,In a relationship,Republican,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$60,000-$69,999",United States,"$60,000-$69,999",My whole life,White,Full-time,I use deodorant,3,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good, because I currently associate AXE with obnoxious body sprays from the early 2000's",Strongly Dislike it,Neutral,Disagree,Strongly Disgaree,Strongly Dislike it,Strongly Agree,Somewhat Agree,Strongly Disgaree,Strongly Like it,Strongly Agree,Somewhat Agree,Somewhat Agree,Like it,Strongly Agree,Somewhat Agree,Neutral,Best to convince people that it's not the same as it was.,7,Neutral,Stands out from the competition,,,,,,,,,,,,,,,,,,,1,
DA53AA5CFB054B8F8ED5B3AE6377D81E,"City 200,000+",43,"Suburban – Mainly residential, bordering a city or large town","Associate degree (for example: AA, AS)",Retail,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$40,000-$49,999",United States,"$70,000-$79,999",My whole life,White,Part-time,I use deodorant,1,2,4,3,Awesome ,Like it,Agree,Strongly Agree,Strongly Agree,Somewhat Like it,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,I think it’s cool,4,Neutral,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8E77EDBDA7A64E30BDA7E2AD4A451758,"City 50,000 - 99,000",29,"Suburban – Mainly residential, bordering a city or large town","Bachelor's degree (for example: BA, AB, BS)",Information Technology,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$40,000-$49,999",United States,"$40,000-$49,999",My whole life,White,Full-time,I use deodorant,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It looks like they are pushing that it lasts 48 hours which is a good thing for making sure your armpits don't develop a smell throughout the day.,Somewhat Dislike it,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Like it,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Like it,Somewhat Agree,Disagree,Agree,0,0,0
E88C266CFABE47D0A7CF4E67CB7151CB,"City 200,000+",62,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)",Other,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin","I was born in the United States, but both of my parents were not","$40,000-$49,999",United States,"$40,000-$49,999",My whole life,Chinese,Full-time,I use deodorant,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It is trying to rebrand as something new and different from what it was,Dislike it,Disagree,Disagree,Neutral,Like it,Agree,Somewhat Agree,Agree,Like it,Agree,Strongly Agree,Agree,Somewhat Like it,Somewhat Agree,Strongly Agree,Somewhat Agree,0,0,0
752D3F6948AB405A8145E817F459530E,"City 200,000+",22,"Urban – Densely populated, city or large town","Some college, but no degree",Business Management & Administration,,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$10,000-$19,999",United States,"$30,000-$39,999",15-20 years,Black or African American,Student,I use deodorant,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,The smell is very professional,Somewhat Like it,Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Like it,Agree,Agree,Agree,Like it,Agree,Agree,Agree,This is body spray,4,Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6D42FDC42547405E998A7E1103D28D28,"City 200,000+",27,"Suburban – Mainly residential, bordering a city or large town","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Social Sciences,In a relationship,Independent,"Yes, another Hispanic, Latino, or Spanish origin – (for example, Salvadoran, Dominican, Colombian, Guatemalan, Spaniard, Ecuadorian, etc.)",Both I and my parents were born in the United States,"$40,000-$49,999",United States,"$50,000-$59,999",My whole life,White,Full-time,I don't use deodorant,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,"To me, I'm not sure how the tagline has anything to do with deodarant or getting ride of odors. It seems to me personally at fist blush a bit negative. I still can't figure out what using a new deodarant has to do with getting rid of your ""ex"". I realize it's probably talking about your former deodarant and not your ex spouse but the literal implication is that of getting rid of a person.",Somewhat Like it,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Like it,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Like it,Agree,Somewhat Agree,Somewhat Agree,"As I mentioned before, I don't like the new tagline. I prefer the current one. The new proposed tagline comes out as confusing and negative as you don't know it the ""ex"" is implying your former deodarant or your ex spouse. It's probably trying to be clever and this is intentional but I don't like that implication.",1,Strongly Dislike it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4680491AF58148D7915636150F84281B,"City 200,000+",44,"Urban – Densely populated, city or large town","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Arts,Divorced,Democrat,"Yes, Puerto Rican","I was born in the United States, but one of my parents was not","$30,000-$39,999",United States,"$30,000-$39,999",Over 20 years,White,Full-time,I use deodorant,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,I think it's trying to be overly aggressive.,Dislike it,Neutral,Strongly Disgaree,Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Like it,Agree,Somewhat Agree,Somewhat Agree,"I think it is ridiculously aggressive, it is trying to be something it isn't. It's over the top.",2,Dislike it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CE791658D24940268E2D468FDC7A2F88,"City 20,000 - 49,000",33,"Suburban – Mainly residential, bordering a city or large town","Some college, but no degree",Information Technology,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$90,000-$99,999",United States,"$70,000-$79,999",My whole life,White,Full-time,I use deodorant,2,1,4,3,It sounds kind of interesting,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,Like it,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,I like the older tagline better,3,Somewhat Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
944906A3EBB043C083D261E96365AF4E,"City 100,000 - 199,000",30,"Suburban – Mainly residential, bordering a city or large town","Bachelor's degree (for example: BA, AB, BS)",Finance,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$80,000-$89,999",United States,"$80,000-$89,999",My whole life,White,Full-time,I use deodorant,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I’m not sure this would get me to buy the product. It seems pretty forgettable. ,Strongly Dislike it,Strongly Disgaree,Disagree,Strongly Disgaree,Dislike it,Strongly Disgaree,Disagree,Disagree,Strongly Like it,Strongly Agree,Strongly Agree,Agree,Strongly Like it,Strongly Agree,Strongly Agree,Agree,"Axe has the same gross smell it always has, so I disagree that they have evolved. ",1,Strongly Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,1,
FE5DB385DF3C4B0FA6FB4668BD1A9E5E,"City 100,000 - 199,000",36,"Urban – Densely populated, city or large town","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Education & Training,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin","I was born in the United States, but one of my parents was not","$20,000-$29,999",United States,"$20,000-$29,999",My whole life,White,Full-time,I use deodorant,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very modern design,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Like it,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Dislike it,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Like it,Agree,Somewhat Disagree,Somewhat Agree,0,0,0
765DD522ECFA4C09ACFAA7DAC2F0BAF3,"City 100,000 - 199,000",61,"Urban – Densely populated, city or large town",High school graduate - high school diploma or the equivalent (for example: GED),Other,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$20,000-$29,999",United States,"$50,000-$59,999",My whole life,White,Part-time,I use deodorant,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,"It's cringe and dumb. But if the target audience is teens, I guess it works. ",Dislike it,Neutral,Strongly Disgaree,Strongly Disgaree,Neutral,Neutral,Somewhat Agree,Neutral,Like it,Neutral,Somewhat Agree,Neutral,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,It's terrible when compared to the old tagline. ,1,Strongly Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
396A48C15EC243148F731CE41A8FE84C,"City 200,000+",25,"Suburban – Mainly residential, bordering a city or large town","Some college, but no degree",Other,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$80,000-$89,999",United States,"$80,000-$89,999",My whole life,White,Full-time,I use deodorant,3,4,2,1,It looks like it's for teenagers. The marketing is repulsive to me.,Dislike it,Disagree,Strongly Disgaree,Strongly Disgaree,Dislike it,Disagree,Strongly Disgaree,Strongly Disgaree,Strongly Dislike it,Strongly Disgaree,Strongly Disgaree,Strongly Disgaree,Somewhat Like it,Neutral,Somewhat Agree,Somewhat Agree,"The knew tagline has homosexual undercurrents to it. It stands out from the competition, but not in a good way.",1,Strongly Dislike it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
F6342F9406A142E19B2EB84816298270,"City 100,000 - 199,000",36,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)",Finance,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$40,000-$49,999",United States,"$50,000-$59,999",My whole life,White,Full-time,I use deodorant,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""You've Evolved. So Have We"" is a good tagline. Axe has kind of a bad reputation for being the deoderent of high school boys, not men. Maybe Axe is trying to change its image.",Dislike it,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,Like it,Agree,Agree,Agree,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,"The new tagline is better. I think it's showing Axe is trying to reinvent itself, which is good.",7,Somewhat Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,1,
0B8D09A73ED140CF84C5320DAE27F350,"City 50,000 - 99,000",66,"Suburban – Mainly residential, bordering a city or large town","Bachelor's degree (for example: BA, AB, BS)",Retired,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$10,000-$19,999",United States,"$10,000-$19,999",My whole life,White,Retired,I use deodorant,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lame and masculine,Dislike it,Disagree,Strongly Disgaree,Strongly Disgaree,Somewhat Like it,Agree,Somewhat Agree,Neutral,Somewhat Dislike it,Somewhat Disagree,Disagree,Disagree,Like it,Agree,Agree,Agree,0,0,0
